Orpha_code	Orphanet_disorder	ICD_10	Relationship
306661	Familial hyperphosphatemic tumoral calcinosis/Hyperphosphatemic hyperostosis syndrome	M11.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
306658	Familial normophosphatemic tumoral calcinosis	M11.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
306644	Complication after organ transplantation	T86.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
306577	Sodium channelopathy-related small fiber neuropathy	G99.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
306558	Primary microcephaly-epilepsy-permanent neonatal diabetes syndrome	Q02	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295187	Zygodactyly type 1	Q70.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295193	Zygodactyly type 4	Q70.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295195	Synpolydactyly type 1	Q70.2	ND (not yet decided/unable to decide)
295195	Synpolydactyly type 1	Q70.0	ND (not yet decided/unable to decide)
295189	Zygodactyly type 2	Q70.0	ND (not yet decided/unable to decide)
295189	Zygodactyly type 2	Q70.1	ND (not yet decided/unable to decide)
295189	Zygodactyly type 2	Q70.2	ND (not yet decided/unable to decide)
295189	Zygodactyly type 2	Q70.3	ND (not yet decided/unable to decide)
295191	Zygodactyly type 3	Q70.0	ND (not yet decided/unable to decide)
295191	Zygodactyly type 3	Q70.1	ND (not yet decided/unable to decide)
295191	Zygodactyly type 3	Q70.2	ND (not yet decided/unable to decide)
295191	Zygodactyly type 3	Q70.3	ND (not yet decided/unable to decide)
295201	Congenital vertical talus, unilateral	Q66.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295203	Congenital vertical talus, bilateral	Q66.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295197	Synpolydactyly type 2	Q70.0	ND (not yet decided/unable to decide)
295197	Synpolydactyly type 2	Q70.2	ND (not yet decided/unable to decide)
295199	Synpolydactyly type 3	Q70.0	ND (not yet decided/unable to decide)
295199	Synpolydactyly type 3	Q70.2	ND (not yet decided/unable to decide)
295217	Radio-ulnar synostosis, unilateral	Q74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295219	Radio-ulnar synostosis, bilateral	Q74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295213	Humero-ulnar synostosis, unilateral	Q74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295215	Humero-ulnar synostosis, bilateral	Q74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295232	Congenital genu flexum	Q68.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295229	Congenital genu recurvatum	Q68.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295227	Congenital elbow dislocation, bilateral	Q68.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295225	Congenital elbow dislocation, unilateral	Q68.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295241	Macrodactyly of fingers, bilateral	Q74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295239	Macrodactyly of fingers, unilateral	Q74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295245	Macrodactyly of toes, bilateral	Q74.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
295243	Macrodactyly of toes, unilateral	Q74.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300179	Kyphoscoliotic Ehlers-Danlos syndrome due to FKBP22 deficiency	Q79.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300319	Charcot-Marie-Tooth disease type 2P	G60.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300324	Persistent polyclonal B-cell lymphocytosis	D72.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300313	Congenital cataract-hearing loss-severe developmental delay syndrome	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300298	Severe congenital hypochromic anemia with ringed sideroblasts	D64.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300305	11p15.4 microduplication syndrome	Q92.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300284	Connective tissue disorder due to lysyl hydroxylase-3 deficiency	M35.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300293	Transient infantile hypertriglyceridemia and hepatosteatosis	K76.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300385	Pituitary carcinoma	C75.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300373	X-linked acrogigantism	E22.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300382	Progeroid and marfanoid aspect-lipodystrophy syndrome	E88.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300345	Autosomal systemic lupus erythematosus	M32.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300359	PLCG2-associated antibody deficiency and immune dysregulation	L50.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
300333	Nephrotic syndrome-epidermolysis bullosa-sensorineural deafness syndrome	N08.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464724	Fever-associated acute infantile liver failure syndrome	K72.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464756	Familial gastric type 1 neuroendocrine tumor	C16.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
465508	Symptomatic form of hemochromatosis type 1	E83.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464329	Kaposiform lymphangiomatosis	D18.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464321	Multifocal lymphangioendotheliomatosis-thrombocytopenia syndrome	D18.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464318	Verrucous hemangioma	D18.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464366	NEK9-related lethal skeletal dysplasia	Q77.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464359	Benign metanephric tumor	D30.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464343	Catastrophic antiphospholipid syndrome	D68.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464336	BENTA disease	D81.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464453	Acquired methemoglobinemia	D74.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464443	COG6-CGD	E77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464440	Primary dystonia, DYT27 type	G24.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
464370	Neonatal alloimmune neutropenia	P61.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
639	Polyneuropathy associated with IgM monoclonal gammapathy with anti-MAG	G61.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
662	Yellow nail syndrome	L60.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
537	Toxic epidermal necrolysis	L51.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
793	SAPHO syndrome	M86.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
456298	1p35.2 microdeletion syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
456333	Hereditary neuroendocrine tumor of small intestine	C17.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
456318	Hereditary sensory neuropathy-deafness-dementia syndrome	G60.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454840	NTHL1-related attenuated familial adenomatous polyposis	D12.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454831	Acute radiation syndrome	T66	E (Exact mapping: the two concepts are equivalent)
454836	Avian influenza	J09	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454887	Corticobasal syndrome	G31.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454742	Variably protease-sensitive prionopathy	A81.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454723	Endometrioid carcinoma of ovary	C56	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454718	Holmes-Adie syndrome	H57.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454714	Plasma cell leukemia	C90.1	E (Exact mapping: the two concepts are equivalent)
454821	Pleomorphic salivary gland adenoma	D11.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454750	Isolated tracheoesophageal fistula	Q39.2	E (Exact mapping: the two concepts are equivalent)
454745	Kuru	A81.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
453533	Polyendocrine-polyneuropathy syndrome	E34.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
453521	Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency	G11.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454710	Anti-p200 pemphigoid	L12.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454706	Progressive muscular atrophy	G12.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
454700	Acquired Creutzfeldt-Jakob disease	A81.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
451602	Primary cutaneous plasmacytosis	L98.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
451607	Cutaneous pseudolymphoma	L98.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
451612	Familial congenital nasolacrimal duct obstruction	Q10.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
453510	Congenital insensitivity to pain with severe intellectual disability	G60.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
450322	Polyclonal hyperviscosity syndrome	D89.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449566	Eosinophilic angiocentric fibrosis	J39.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449563	IgG4-related ophthalmic disease	H05.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449291	Symptomatic form of fragile X syndrome in female carriers	Q99.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449400	IgG4-related aortitis	I77.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449395	IgG4-related kidney disease	N11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449432	IgG4-related submandibular gland disease	K11.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449427	IgG4-related pachymeningitis	G03.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449280	Scedosporiosis	B48.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
449285	Snakebite envenomation	T63.0	E (Exact mapping: the two concepts are equivalent)
448251	Progressive autosomal recessive ataxia-deafness syndrome	G11.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
448270	Ectopia cordis	Q24.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
448267	Regressive spondylometaphyseal dysplasia	Q77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
448010	CAD-CDG	E77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
447997	Spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome	Q02	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
448242	Autosomal recessive brachyolmia	Q76.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
448237	Zika virus disease	A92.5	E (Exact mapping: the two concepts are equivalent)
447977	Progressive scapulohumeroperoneal distal myopathy	G71.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
447974	Klippel-Feil anomaly-myopathy-facial dysmorphism syndrome	Q76.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
447980	19p13.3 microduplication syndrome	Q92.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
447954	Combined oxidative phosphorylation defect type 25	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
447964	Autosomal dominant Charcot-Marie-Tooth disease type 2V	G60.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
459353	C1 inhibitor deficiency	D84.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
459033	Ataxia-oculomotor apraxia type 4	G60.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
459051	Spondyloepiphyseal dysplasia, Stanescu type	Q77.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
459056	Autosomal recessive spastic paraplegia type 75	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
459074	Corpus callosum agenesis-macrocephaly-hypertelorism syndrome	Q04.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
458718	Idiopathic spontaneous coronary artery dissection	I25.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
458758	Composite hemangioendothelioma	D48.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
458763	Retiform hemangioendothelioma	D48.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
458768	Primary intralymphatic angioendothelioma	D48.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
458785	Partially involuting congenital hemangioma	D18.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
458792	Mixed cystic lymphatic malformation	D18.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
458798	Spinocerebellar ataxia type 41	G11.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
458803	Spinocerebellar ataxia type 42	G11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457265	Progressive myoclonic epilepsy type 9	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457260	X-linked intellectual disability-hypotonia-movement disorder syndrome	F78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457246	Clear cell sarcoma of kidney	C64	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457406	Multiple mitochondrial dysfunctions syndrome type 4	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457375	ITPA-related lethal infantile neurological disorder with cataract and cardiac involvement	G40.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457378	Complex lethal osteochondrodysplasia	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457185	Neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457083	Isolated splenogonadal fusion	Q89.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457077	TAFRO syndrome	M35.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457095	Actinomycosis	A42.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
457095	Actinomycosis	A42.7	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
457095	Actinomycosis	A42.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
457095	Actinomycosis	A42.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
457095	Actinomycosis	A42.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
457088	Predisposition to invasive fungal disease due to CARD9 deficiency	D84.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457223	Syndromic sensorineural deafness due to combined oxidative phosphorylation defect	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457212	Progressive essential tremor-speech impairment-facial dysmorphism-intellectual disability-abnormal behavior syndrome	F78.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457205	Infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome	G60.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
456369	Polyglucosan body myopathy type 2	E74.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
457050	Autosomal dominant mitochondrial myopathy with exercise intolerance	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
317	Erythrokeratodermia variabilis	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
629	Short stature due to growth hormone qualitative anomaly	E23.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
632	Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia	E23.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
248	Autosomal recessive hypohidrotic ectodermal dysplasia	Q82.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
1810	Autosomal dominant hypohidrotic ectodermal dysplasia	Q82.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
3437	Vogt-Koyanagi-Harada disease	H20.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
3437	Vogt-Koyanagi-Harada disease	H30.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2032	Idiopathic pulmonary fibrosis	J84.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
1303	Bronchiolitis obliterans with obstructive pulmonary disease	J44.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
3348	Tracheobronchopathia osteochondroplastica	J98.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2902	Idiopathic chronic eosinophilic pneumonia	J82	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
1302	Cryptogenic organizing pneumonia	J84.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
198	Occipital horn syndrome	E83.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
891	Familial exudative vitreoretinopathy	H35.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
225	Maternally-inherited diabetes and deafness	E13.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466677	Scorpion envenomation	T63.2	E (Exact mapping: the two concepts are equivalent)
466682	Euthyroid Graves orbitopathy	H05.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466688	Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466695	Supratip dysplasia	J34.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466670	Cyanide poisoning	T65.0	E (Exact mapping: the two concepts are equivalent)
466650	Exercise-induced malignant hyperthermia	T88.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466962	SMARCA4-deficient sarcoma of thorax	C49.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466926	Seizures-scoliosis-macrocephaly syndrome	E77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466934	VPS11-related autosomal recessive hypomyelinating leukodystrophy	G93.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466921	Childhood-onset progressive contractures-limb-girdle weakness-muscle dystrophy syndrome	G71.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466806	Autosomal dominant thrombocytopenia with platelet secretion defect	D69.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466801	LIMS2-related limb-girdle muscular dystrophy	G71.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466794	Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome	G11.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466784	Neonatal severe cardiopulmonary failure due to mitochondrial methylation defect	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466775	Autosomal recessive Charcot-Marie-Tooth disease type 2X	G60.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466768	Autosomal dominant Charcot-Marie-Tooth disease type 2Z	G60.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466722	Autosomal recessive spastic paraplegia type 77	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466718	Martinique crinkled retinal pigment epitheliopathy	H35.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466703	TMEM199-CDG	E77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
466026	Class I glucose-6-phosphate dehydrogenase deficiency	D55.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
468620	Intellectual disability-epilepsy-extrapyramidal syndrome	F78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
468631	Microcephalic cortical malformations-short stature due to RTTN deficiency	Q02	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
467176	Severe hypotonia-psychomotor developmental delay-strabismus-cardiac septal defect syndrome	G71.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
468661	Autosomal recessive spastic paraplegia type 74	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
468684	CCDC115-CDG	E77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
468726	Severe primary trimethylaminuria	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
468699	SLC39A8-CDG	E77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401785	Autosomal recessive spastic paraplegia type 62	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401780	Autosomal recessive spastic paraplegia type 61	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401800	Autosomal recessive spastic paraplegia type 60	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401795	Autosomal recessive spastic paraplegia type 59	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401768	Proximal myopathy with extrapyramidal signs	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401764	Pancytopenia-developmental delay syndrome	D61.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401777	Optic atrophy-intellectual disability syndrome	H47.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401830	Autosomal recessive spastic paraplegia type 69	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401835	Autosomal recessive spastic paraplegia type 70	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401840	Autosomal recessive spastic paraplegia type 71	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401805	Autosomal recessive spastic paraplegia type 63	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401810	Autosomal recessive spastic paraplegia type 64	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401815	Autosomal recessive spastic paraplegia type 66	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401820	Autosomal recessive spastic paraplegia type 67	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401866	Childhood-onset spasticity with hyperglycinemia	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401869	Multiple mitochondrial dysfunctions syndrome type 1	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401874	Multiple mitochondrial dysfunctions syndrome type 2	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401849	Autosomal spastic paraplegia type 72	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401854	Lipoic acid biosynthesis defect	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401859	Lipoic acid synthetase deficiency	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401862	Lipoyl transferase 1 deficiency	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
399998	Male infertility due to obstructive azoospermia of genetic origin	N46	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
399994	Rare male infertility due to adrenal disorder of genetic origin	N46	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
399983	Rare male infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin	N46	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
399882	Rare female infertility due to an implantation defect	N97.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
399877	Rare female infertility due to gonadal dysgenesis	N97.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
400025	Female infertility due to an implantation defect of genetic origin	N97.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
400022	Rare female infertility due to an anomaly of ovarian function of genetic origin	N97.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
400011	Rare female infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin	N97.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402823	Hepatitis delta	B17.0	E (Exact mapping: the two concepts are equivalent)
401920	Fibrolamellar hepatocellular carcinoma	C22.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401911	AXIN2-related attenuated familial adenomatous polyposis	D12.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401901	Huntington disease-like syndrome due to C9ORF72 expansions	G10	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401942	Familial median cleft of the upper and lower lips	Q36.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401935	14q24.1q24.3 microdeletion syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401923	9q31.1q31.3 microdeletion syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401959	Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome	Q04.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401953	Episodic ataxia with slurred speech	G11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401948	Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency	E74.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401945	Moyamoya disease with early-onset achalasia	I67.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401986	1p31p32 microdeletion syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401979	Autosomal recessive spondylometaphyseal dysplasia, Mégarbané type	Q77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401973	MEND syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401964	Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons	G60.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402003	Autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402007	Lichen myxedematosus	L98.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401993	Cold-induced sweating syndrome-hyperthermia spectrum	G90.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
401996	Karyomegalic interstitial nephritis	N11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402017	Acute myeloid leukemia with t(9;11)(p22;q23)	C92.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402020	Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2)	C92.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402014	Acute myeloid leukemia with t(6;9)(p23;q34)	C92.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402029	Primary eosinophilic gastrointestinal disease	K52.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402035	Eosinophilic colitis	K52.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402023	Megakaryoblastic acute myeloid leukemia with t(1;22)(p13;q13)	C94.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402026	Acute myeloid leukemia with NPM1 somatic mutations	C92.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402082	Progressive myoclonic epilepsy type 5	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402364	Infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly	Q04.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402041	Autosomal recessive distal renal tubular acidosis	N25.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
402075	Familial bicuspid aortic valve	Q23.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
806	Scott syndrome	D69.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
404469	Rare female infertility due to oocyte maturation defect	N97.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
404473	Severe intellectual disability-progressive spastic diplegia syndrome	G80.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
404463	Multisystemic smooth muscle dysfunction syndrome	I73.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
404466	Female infertility due to zona pellucida defect	N97.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
